open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date,month,year
259.0,262.0,257.0,260.0,39954522.0,262.0,257.0,260.0,259.0,40019421.0,1.0,0.0,AAPL,XNAS,14-01-2026,01,2026
259.0,262.0,258.0,261.0,41482227.0,262.0,258.0,261.0,259.0,45730847.0,1.0,0.0,AAPL,XNAS,13-01-2026,01,2026
259.0,261.0,257.0,260.0,45056584.0,261.0,257.0,260.0,259.0,45263767.0,1.0,0.0,AAPL,XNAS,12-01-2026,01,2026
259.0,260.0,256.0,259.0,39911019.0,260.0,256.0,259.0,259.0,39996967.0,1.0,0.0,AAPL,XNAS,09-01-2026,01,2026
257.0,259.0,256.0,259.0,50211734.0,259.0,256.0,259.0,257.0,50419337.0,1.0,0.0,AAPL,XNAS,08-01-2026,01,2026
263.0,264.0,260.0,260.0,48262000.0,264.0,260.0,260.0,263.0,48309804.0,1.0,0.0,AAPL,XNAS,07-01-2026,01,2026
267.0,268.0,262.0,262.0,52282100.0,268.0,262.0,262.0,267.0,52352090.0,1.0,0.0,AAPL,XNAS,06-01-2026,01,2026
271.0,272.0,266.0,267.0,45647200.0,272.0,266.0,267.0,271.0,45647190.0,1.0,0.0,AAPL,XNAS,05-01-2026,01,2026
272.0,278.0,269.0,271.0,37746172.0,278.0,269.0,271.0,272.0,37838054.0,1.0,0.0,AAPL,XNAS,02-01-2026,01,2026
273.0,274.0,272.0,272.0,27293600.0,274.0,272.0,272.0,273.0,27293639.0,1.0,0.0,AAPL,XNAS,31-12-2025,12,2025
273.0,274.0,272.0,273.0,22090083.0,274.0,272.0,273.0,273.0,22139617.0,1.0,0.0,AAPL,XNAS,30-12-2025,12,2025
274.0,274.0,272.0,274.0,23399554.0,274.0,272.0,274.0,273.0,23715213.0,1.0,0.0,AAPL,XNAS,29-12-2025,12,2025
