open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
274.885,275.36,272.94,273.68,34311675.0,275.37,272.94,273.68,274.885,34376898.0,1.0,0.0,AAPL,XNAS,2026-02-10T00:00:00+0000
277.91,278.2,271.7,274.62,44562300.0,278.2,271.7,274.62,277.905,44623396.0,1.0,0.26,AAPL,XNAS,2026-02-09T00:00:00+0000
277.16,280.905,276.925,278.12,50050812.0,280.905,276.925,278.12,277.12,50453414.0,1.0,0.0,AAPL,XNAS,2026-02-06T00:00:00+0000
278.02,279.5,273.23,275.91,52178159.0,279.5,273.23,275.91,278.13,52977441.0,1.0,0.0,AAPL,XNAS,2026-02-05T00:00:00+0000
272.29,278.95,272.29,276.49,90458500.0,278.95,272.285,276.49,272.285,90545710.0,1.0,0.0,AAPL,XNAS,2026-02-04T00:00:00+0000
269.13,271.875,267.61,269.48,63714867.0,271.875,267.61,269.48,269.2,63799388.0,1.0,0.0,AAPL,XNAS,2026-02-03T00:00:00+0000
260.02,270.49,259.205,270.01,72890096.0,270.49,259.205,270.01,260.03,73913425.0,1.0,0.0,AAPL,XNAS,2026-02-02T00:00:00+0000
255.165,261.64,252.18,259.48,79605051.0,261.8999,252.18,259.48,255.165,92443408.0,1.0,0.0,AAPL,XNAS,2026-01-30T00:00:00+0000
258.07,259.65,254.41,258.28,55636341.0,259.65,254.41,258.28,258.0,67253009.0,1.0,0.0,AAPL,XNAS,2026-01-29T00:00:00+0000
257.56,258.855,254.51,256.44,33041915.0,258.855,254.51,256.44,257.65,41287971.0,1.0,0.0,AAPL,XNAS,2026-01-28T00:00:00+0000
259.14,261.95,258.21,258.27,42113358.0,261.95,258.21,258.27,259.17,48787855.0,1.0,0.0,AAPL,XNAS,2026-01-27T00:00:00+0000
251.48,256.56,249.8,255.41,55448748.0,256.56,249.8,255.41,251.48,55969234.0,1.0,0.0,AAPL,XNAS,2026-01-26T00:00:00+0000
247.24,249.41,244.68,248.04,40981809.0,249.41,244.68,248.04,247.32,41688982.0,1.0,0.0,AAPL,XNAS,2026-01-23T00:00:00+0000
249.2,251.0,248.18,248.35,36743336.0,251.0,248.15,248.35,249.2,39708340.0,1.0,0.0,AAPL,XNAS,2026-01-22T00:00:00+0000
248.71,251.56,245.19,247.65,54151253.0,251.56,245.18,247.65,248.7,54641725.0,1.0,0.0,AAPL,XNAS,2026-01-21T00:00:00+0000
252.51,254.79,243.42,246.7,77475520.0,254.79,243.42,246.7,252.73,77280987.0,1.0,0.0,AAPL,XNAS,2026-01-20T00:00:00+0000
257.9,258.9,254.93,255.53,72018600.0,258.9,254.93,255.53,257.9,72142773.0,1.0,0.0,AAPL,XNAS,2026-01-16T00:00:00+0000
258.72,261.03,257.05,258.21,34022938.0,261.04,257.05,258.21,260.65,39388564.0,1.0,0.0,AAPL,XNAS,2026-01-15T00:00:00+0000
258.72,261.81,256.71,259.96,39954522.0,261.82,256.71,259.96,259.49,40019421.0,1.0,0.0,AAPL,XNAS,2026-01-14T00:00:00+0000
259.41,261.81,258.39,261.05,41482227.0,261.81,258.39,261.05,258.72,45730847.0,1.0,0.0,AAPL,XNAS,2026-01-13T00:00:00+0000
259.41,261.3,256.8,260.25,45056584.0,261.3,256.8,260.25,259.16,45263767.0,1.0,0.0,AAPL,XNAS,2026-01-12T00:00:00+0000
259.075,260.21,256.2201,259.37,39911019.0,260.21,256.22,259.37,259.075,39996967.0,1.0,0.0,AAPL,XNAS,2026-01-09T00:00:00+0000
256.995,259.28,255.7,259.04,50211734.0,259.29,255.7,259.04,257.02,50419337.0,1.0,0.0,AAPL,XNAS,2026-01-08T00:00:00+0000
263.2,263.68,259.81,260.33,48262000.0,263.68,259.81,260.33,263.2,48309804.0,1.0,0.0,AAPL,XNAS,2026-01-07T00:00:00+0000
267.0,267.55,262.12,262.36,52282100.0,267.55,262.12,262.36,267.0,52352090.0,1.0,0.0,AAPL,XNAS,2026-01-06T00:00:00+0000
270.64,271.51,266.14,267.26,45647200.0,271.51,266.14,267.26,270.64,45647190.0,1.0,0.0,AAPL,XNAS,2026-01-05T00:00:00+0000
272.05,277.8248,269.02,271.01,37746172.0,277.84,269.0,271.01,272.255,37838054.0,1.0,0.0,AAPL,XNAS,2026-01-02T00:00:00+0000
273.06,273.68,271.75,271.86,27293600.0,273.68,271.75,271.86,273.06,27293639.0,1.0,0.0,AAPL,XNAS,2025-12-31T00:00:00+0000
272.835,274.08,272.28,273.08,22090083.0,274.08,272.28,273.08,272.81,22139617.0,1.0,0.0,AAPL,XNAS,2025-12-30T00:00:00+0000
274.23,274.36,272.35,273.76,23399554.0,274.36,272.35,273.76,272.69,23715213.0,1.0,0.0,AAPL,XNAS,2025-12-29T00:00:00+0000
